CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,SatisfactionScore,CardType,PointEarned,AgeGroup,BalanceGroup,TenureGroup,SalaryGroup,Cluster,ChurnProbability,PredictedChurn,RiskCategory,BalanceScore,SalaryScore,TenureScore,PointsScore,CustomerValueScore,EstimatedCustomerValue,RevenueAtRisk
528,France,Male,31,6,102016.72,2,0,0,80181.12,0,0,3,GOLD,264,31-40,High,Long,Medium,2,0.032324065,0,Low Risk,0.40660620413650816,0.4009206746173656,0.6,0.264,0.4293186840398129,34423.25292323832,1112.6994650021954
497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,0,3,GOLD,249,18-30,No Balance,Medium,Medium,3,0.01805886,0,Low Risk,0.0,0.38196441186188596,0.3,0.249,0.19948932355856577,15238.991421532073,275.1988126226487
476,France,Female,34,10,0.0,2,1,0,26260.98,0,0,3,SILVER,119,31-40,No Balance,Very Long,Low,3,0.056471348,0,Low Risk,0.0,0.13130983724988057,1.0,0.119,0.2512929511749642,6599.199164946711,372.6656725650151
549,France,Female,25,5,0.0,2,0,0,190857.79,0,0,3,PLATINUM,549,18-30,No Balance,Medium,Very High,3,0.025351869,0,Low Risk,0.0,0.9543248326137063,0.5,0.549,0.44119744978411185,84205.97021943156,2134.77872602093
635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,0,2,GOLD,318,31-40,No Balance,Long,Medium,3,0.035665102,0,Low Risk,0.0,0.3297706493764165,0.7,0.318,0.2707311948129249,17855.169004383835,636.8064237685879
616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,0,5,GOLD,308,41-50,High,Medium,Medium,0,0.18830201,0,Low Risk,0.570468312453076,0.32164839397961364,0.3,0.308,0.4154818431751145,26726.808551204816,5032.711771077054
653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,0,2,SILVER,163,51-60,High,New,Low,1,0.93436795,1,High Risk,0.5285129113577549,0.025489308397995764,0.1,0.163,0.2553519570625007,1301.700010958798,1216.2667707545495
549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,0,3,SILVER,544,18-30,No Balance,Very Long,Low,3,0.023739846,0,Low Risk,0.0,0.07203475850691986,0.9,0.544,0.256010427552076,3688.191183590503,87.55709071699626
587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,0,3,PLATINUM,732,41-50,No Balance,Long,Very High,2,0.55162054,1,Medium Risk,0.0,0.7934538838660333,0.6,0.732,0.43123616515980995,68430.62893351306,37747.7404848441
726,France,Female,24,6,0.0,2,1,1,54724.03,0,0,4,GOLD,477,18-30,No Balance,Long,Medium,3,0.01696902,0,Low Risk,0.0,0.27363043850448776,0.6,0.477,0.24978913155134633,13669.467928689823,231.95747467129618
732,France,Male,41,8,0.0,2,1,1,170886.17,0,0,3,PLATINUM,568,41-50,No Balance,Long,Very High,3,0.015944466,0,Low Risk,0.0,0.8544629778079657,0.8,0.568,0.47313889334238973,80852.89336131948,1289.1562092011843
636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,0,2,DIAMOND,336,31-40,No Balance,Long,High,3,0.0419622,0,Low Risk,0.0,0.6928033494059376,0.8,0.336,0.4014410048217813,55621.84308594412,2334.0149039410044
510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,1,2,DIAMOND,887,31-40,No Balance,Medium,High,2,0.2935759,0,Low Risk,0.0,0.5945900065842475,0.4,0.887,0.34707700197527425,41272.151486696835,12116.509017643362
669,France,Male,46,3,0.0,2,0,1,8487.75,0,0,2,SILVER,665,41-50,No Balance,Medium,Low,3,0.043980982,0,Low Risk,0.0,0.04244034575700046,0.3,0.665,0.13923210372710015,1181.7672884096944,51.975285839735584
846,France,Female,38,5,0.0,1,1,1,187616.16,0,0,3,PLATINUM,225,31-40,No Balance,Medium,Very High,0,0.21163304,0,Low Risk,0.0,0.938116073164351,0.5,0.225,0.40393482194930536,75784.70018441239,16038.546485515753
577,France,Male,25,3,0.0,2,0,1,124508.29,0,0,3,PLATINUM,659,18-30,No Balance,Medium,High,3,0.008371704,0,Low Risk,0.0,0.6225648584386773,0.3,0.659,0.3126694575316032,38929.93949248753,325.90993016901587
756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,0,5,DIAMOND,236,31-40,High,New,Very High,0,0.15076467,0,Low Risk,0.5453036330408095,0.8502417190886378,0.2,0.236,0.5367939689429151,91277.49322729273,13761.421144840022
571,France,Male,44,9,0.0,2,0,0,38433.35,0,0,4,PLATINUM,448,41-50,No Balance,Very Long,Low,3,0.047419302,0,Low Risk,0.0,0.19217397574148787,0.9,0.448,0.28245219272244637,10855.583981169233,514.7642151894262
574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,0,5,DIAMOND,499,41-50,High,Medium,High,0,0.39896038,0,Medium Risk,0.5633738782148561,0.5009559859450715,0.3,0.499,0.4855363470694639,48644.63878447762,19407.28357441793
411,France,Male,29,0,59697.17,2,1,1,53483.21,0,0,2,GOLD,343,18-30,Medium,New,Medium,3,0.121875614,0,Low Risk,0.23793393564693935,0.2674261052215563,0.0,0.343,0.20970140582524263,11215.504325046675,1366.896475934719
591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,1,3,DIAMOND,298,31-40,No Balance,Medium,High,3,0.7338718,1,High Risk,0.0,0.7023733092364273,0.3,0.298,0.30051199277092816,42212.733307096765,30978.734574999053
533,France,Male,36,7,85311.7,1,0,1,156731.91,0,0,5,SILVER,628,31-40,Medium,Long,Very High,0,0.065135084,0,Low Risk,0.34002530668926173,0.7836890167070282,0.7,0.628,0.5739168276878132,89951.08058465185,5858.971189772067
553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,0,3,GOLD,611,41-50,High,Very Long,Medium,2,0.13753733,0,Low Risk,0.43887356814872525,0.40950944755522806,0.9,0.611,0.5395022615260586,44184.59321129298,6077.030977417363
520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,0,2,SILVER,922,41-50,No Balance,Long,Low,3,0.03545543,0,Low Risk,0.0,0.17205921942665045,0.6,0.922,0.2638177658279951,9078.114421912518,321.8684504181098
722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,0,5,PLATINUM,276,18-30,No Balance,Very Long,High,3,0.030635865,0,Low Risk,0.0,0.7101920532212012,0.9,0.276,0.42065761596636037,59747.29261458318,1830.4099906558674
475,France,Female,45,0,134264.04,1,1,0,27822.99,1,1,1,DIAMOND,877,41-50,High,New,Low,2,0.58233976,1,Medium Risk,0.5351337668612782,0.13912018091880254,0.0,0.877,0.34348956102015205,9556.90662136808,5565.366708229898
490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,0,4,SILVER,471,31-40,High,Medium,High,0,0.055824723,0,Low Risk,0.5789610833625717,0.5703552953591055,0.3,0.471,0.5097910219527603,58150.21524915046,3246.2196586742
804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,0,2,GOLD,994,31-40,Medium,Long,Medium,0,0.045123007,0,Low Risk,0.30509837679513624,0.49228575994457385,0.7,0.994,0.5091250787014266,50125.120479676974,2261.7961622803073
850,France,Male,36,7,0.0,1,1,1,40812.9,0,0,3,GOLD,944,31-40,No Balance,Long,Low,0,0.09479574,0,Low Risk,0.0,0.20407217311370907,0.7,0.944,0.2956216519341127,12065.176918221749,1143.7273741937502
582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,0,5,GOLD,419,41-50,Medium,Long,Very High,0,0.046404447,0,Low Risk,0.28039065582364536,0.8904036791783371,0.6,0.419,0.5411773660829593,96369.63993495154,4471.979848770542
472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,0,4,DIAMOND,545,31-40,No Balance,Medium,Medium,2,0.33132967,0,Medium Risk,0.0,0.3507842894892848,0.4,0.545,0.23973528684678547,16818.442055212494,5572.448856067677
465,France,Female,51,8,122522.32,1,0,0,181297.65,1,1,5,SILVER,828,51-60,High,Long,Very High,2,0.7115371,1,High Risk,0.4883350048619342,0.906522335239805,0.8,0.828,0.7100907025167151,128737.77565312953,91601.7035486784
556,France,Female,61,2,117419.35,1,1,1,94153.83,0,0,3,PLATINUM,789,60+,High,New,Medium,1,0.26245663,0,Low Risk,0.4679961892097306,0.4707868515856196,0.2,0.789,0.44733453115957816,42118.259399928625,11054.21642357109
834,France,Female,49,2,131394.56,1,0,0,194365.76,1,1,2,GOLD,567,41-50,High,New,Very High,2,0.49626055,0,Medium Risk,0.5236969320890406,0.9718653421368644,0.2,0.567,0.5977383754766755,116179.8736306894,57655.48798689642
660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,0,1,PLATINUM,884,60+,Very High,Medium,Very High,1,0.2906076,0,Low Risk,0.6214918176539327,0.7917217187366246,0.5,0.884,0.6745132426825605,106801.34088003592,31037.28134992913
776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,0,1,SILVER,296,31-40,High,Medium,High,0,0.083472595,0,Low Risk,0.43611782776026714,0.6326110861768403,0.4,0.296,0.473830456957159,59947.825884859085,5004.000591217359
829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,1,3,DIAMOND,779,18-30,High,Very Long,High,0,0.19380672,0,Low Risk,0.44657840958454487,0.5985635559897052,0.9,0.779,0.6161004306307295,73752.2797310338,14293.687427194143
637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,1,1,SILVER,730,31-40,High,Very Long,High,0,0.38104206,0,Medium Risk,0.5494015518412276,0.5881361139178833,0.9,0.73,0.649201454911856,76360.89289080625,29096.71193055217
550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,0,3,DIAMOND,960,31-40,High,New,Medium,0,0.21246935,0,Low Risk,0.41208516174834176,0.45440773573086346,0.2,0.96,0.4371563854185957,39727.95482440125,8440.972738369897
776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,0,1,SILVER,268,31-40,High,New,Very High,2,0.14715172,0,Low Risk,0.41359111183349384,0.9705320920066594,0.2,0.268,0.5233960723353954,101590.7170517566,14949.248750199315
698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,0,4,SILVER,829,41-50,High,Very Long,Very High,2,0.2000323,0,Low Risk,0.4637873887361996,0.9903330365221732,1.0,0.829,0.7655148664511318,151617.23141682334,30328.34351993943
585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,0,3,SILVER,665,31-40,High,Medium,Medium,2,0.070639536,0,Low Risk,0.5821127215436355,0.432139098430101,0.5,0.665,0.5289868181464845,45717.458293978125,3229.4600409859663
788,France,Female,33,5,0.0,2,0,0,116978.19,0,0,3,GOLD,982,31-40,No Balance,Medium,High,3,0.031332213,0,Low Risk,0.0,0.5849129427266465,0.5,0.982,0.37367388281799396,43711.69446232104,1369.584121484363
655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,1,3,SILVER,343,41-50,High,Long,Very High,2,0.4790986,0,Medium Risk,0.5004500831393336,0.8202355408563362,0.8,0.343,0.6405506955126343,105076.53820954631,50342.02234904014
601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,1,2,DIAMOND,225,41-50,Medium,New,Low,2,0.48966616,0,Medium Risk,0.39257261783061004,0.20008132305774698,0.1,0.225,0.25955344404956815,10385.968770816899,5085.657445885831
619,France,Male,43,1,125211.92,1,1,1,113410.49,0,0,5,SILVER,657,41-50,High,New,High,0,0.15072192,0,Low Risk,0.4990548951568344,0.5670737719738262,0.1,0.657,0.4554440896548816,51652.13737536405,7785.109317318631
656,France,Male,45,5,127864.4,1,1,0,87107.57,0,0,2,PLATINUM,221,41-50,High,Medium,Medium,2,0.38444027,0,Medium Risk,0.5096268369360644,0.43555422683892914,0.5,0.221,0.4566170028261045,39774.7975368651,15291.033904267753
725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,0,2,PLATINUM,406,18-30,Medium,New,Low,2,0.11606127,0,Low Risk,0.3024662324053563,0.2280773257074466,0.0,0.406,0.23000969067437652,10491.604527998341,1217.668945857238
511,Spain,Female,66,4,0.0,1,1,0,1643.11,1,1,5,SILVER,549,60+,No Balance,Medium,Low,1,0.8899608,1,High Risk,0.0,0.008215858916295251,0.4,0.549,0.1373647576748886,225.70540698318618,200.86896456308196
614,France,Male,51,4,40685.92,1,1,1,46775.28,0,0,4,PLATINUM,954,51-60,Low,Medium,Low,1,0.402623,0,Medium Risk,0.16216113881137956,0.23388519408329753,0.4,0.954,0.3104300137495411,14520.450813538635,5846.267467899366
742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,0,4,GOLD,823,31-40,High,Medium,Medium,2,0.22397707,0,Low Risk,0.5454684808481404,0.42256373839656375,0.5,0.823,0.5272565138582254,44558.22126585767,9980.019843538492
687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,0,5,DIAMOND,769,18-30,Very High,Very Long,High,2,0.06378088,0,Low Risk,0.607134474399546,0.6324978819203602,0.9,0.769,0.6895031543359265,87218.57739715524,5562.87761873867
555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,0,5,PLATINUM,481,31-40,Medium,New,Very High,3,0.04304768,0,Low Risk,0.22353573915209957,0.8940242653123758,0.1,0.481,0.42572157525455256,76118.22155616827,3276.7128437190336
684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,0,4,SILVER,903,51-60,Medium,Long,Medium,1,0.19699897,0,Low Risk,0.31370171052318496,0.4970104875943335,0.8,0.903,0.5248838304875741,52172.59194098287,10277.946874603926
603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,0,3,PLATINUM,882,18-30,High,Medium,Medium,0,0.13857761,0,Low Risk,0.4351024354151122,0.4642208047022568,0.4,0.882,0.48150721557672194,44703.4525039773,6194.89760674969
751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,1,5,GOLD,379,31-40,Very High,Long,Low,0,0.06486979,0,Low Risk,0.6768941923790651,0.13879701876790568,0.6,0.379,0.47029678258199775,13054.667397752823,846.8535326120721
581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,1,3,PLATINUM,469,31-40,High,New,High,2,0.28829873,0,Low Risk,0.40507697766850276,0.5521783119045276,0.1,0.469,0.39458428463875944,43574.53837492801,12562.484073828009
735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,1,3,PLATINUM,683,41-50,High,Very Long,Very High,0,0.11843146,0,Low Risk,0.49095634805350646,0.9834033759669363,1.0,0.683,0.7597035520114834,149413.38940174904,17695.245850397667
661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,1,1,GOLD,770,31-40,Very High,Medium,High,0,0.06728665,0,Low Risk,0.6007440311721783,0.5683056182912477,0.5,0.77,0.5877892979562456,66806.28006941831,4495.170784832926
675,France,Female,21,8,98373.26,1,1,0,18203.0,0,0,5,SILVER,985,18-30,Medium,Long,Low,2,0.06392325,0,Low Risk,0.39208453121345005,0.0910184222926782,0.8,0.985,0.44263933917318354,8057.36389096946,515.0528863434135
738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,1,4,GOLD,725,51-60,High,New,Low,3,0.9945589,1,High Risk,0.5330667921784499,0.14187463448625667,0.2,0.725,0.36828910721725694,10449.783567707438,10392.925250337186
813,France,Male,29,6,0.0,1,1,0,33953.87,0,0,3,PLATINUM,259,18-30,No Balance,Long,Low,2,0.17698485,0,Low Risk,0.0,0.16977573356758213,0.6,0.259,0.19683272007027464,6683.232589012497,1182.8309172814884
657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,0,2,GOLD,979,31-40,Very High,New,Low,0,0.102379985,0,Low Risk,0.6520861916485693,0.2210260605798778,0.0,0.979,0.42504229483339107,18788.378331782544,1923.553891782222
604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,0,2,SILVER,988,18-30,Very High,Medium,Medium,0,0.04211266,0,Low Risk,0.6288642532113338,0.29214503465330294,0.5,0.988,0.5379892116805244,31432.993452907776,1323.7269660645313
519,France,Male,36,9,0.0,2,0,1,145562.4,0,0,2,PLATINUM,833,31-40,No Balance,Very Long,High,3,0.015171677,0,Low Risk,0.0,0.7278393667601901,0.9,0.833,0.48165181002805707,70110.39343202805,1063.692243493651
735,France,Female,21,1,178718.19,2,1,0,22388.0,0,0,1,PLATINUM,527,18-30,Very High,New,Low,2,0.15544249,0,Low Risk,0.7123138721382853,0.11194420910226224,0.1,0.527,0.39120881158599285,8758.382873787208,1361.4248422748392
664,France,Male,55,8,0.0,2,1,1,139161.64,0,0,5,SILVER,220,51-60,No Balance,Long,High,1,0.102840446,0,Low Risk,0.0,0.6958343633720628,0.8,0.22,0.3907503090116189,54377.45383256367,5592.201604485257
678,France,Female,32,9,0.0,1,1,1,148210.64,0,0,4,GOLD,983,31-40,No Balance,Very Long,High,0,0.11608692,0,Low Risk,0.0,0.7410810646480308,0.9,0.983,0.5006243193944093,74197.85077700982,8613.399967322677
757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,0,3,SILVER,582,31-40,Medium,Medium,Very High,0,0.089121684,0,Low Risk,0.30790676804275396,0.9712346684235327,0.5,0.582,0.5727331077441614,111247.46693697605,9914.561594157629
416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,0,3,SILVER,281,41-50,High,Very Long,Medium,2,0.28872943,0,Low Risk,0.4870091278893355,0.4915265313975805,1.0,0.281,0.5703616105750084,56067.464601716354,16188.32709599874
665,France,Female,34,1,96645.54,2,0,0,171413.66,0,0,3,DIAMOND,798,31-40,Medium,New,Very High,2,0.062109135,0,Low Risk,0.38519838871631107,0.8571005269798144,0.1,0.798,0.5110095135804688,87594.01101764785,5440.388255486578
777,France,Female,32,2,0.0,1,1,0,136458.19,1,1,5,SILVER,917,31-40,No Balance,New,High,2,0.25804392,0,Low Risk,0.0,0.6823166051043519,0.2,0.917,0.33639498153130554,45903.850304845386,11845.209475755497
543,France,Female,36,3,0.0,2,0,0,26019.59,0,0,2,DIAMOND,255,31-40,No Balance,Medium,Low,3,0.045356173,0,Low Risk,0.0,0.1301028418668542,0.3,0.255,0.12453085256005625,3240.241725963114,146.9649642846016
506,France,Female,34,4,90307.62,1,1,1,159235.29,0,0,4,SILVER,511,31-40,Medium,Medium,Very High,0,0.07702812,0,Low Risk,0.35993745508385494,0.7962063873601647,0.4,0.511,0.5139368982415914,81836.8910332003,6303.741862932277
493,France,Female,46,4,0.0,2,1,0,1907.66,0,0,1,SILVER,498,41-50,No Balance,Medium,Low,3,0.100121215,0,Low Risk,0.0,0.009538658653565374,0.4,0.498,0.13266159759606963,253.0732232701182,25.337998597770508
652,Spain,Female,75,10,0.0,2,1,1,114675.75,0,0,5,DIAMOND,651,60+,No Balance,Very Long,High,1,0.011820069,0,Low Risk,0.0,0.5734003098516504,1.0,0.651,0.4371200929554951,50127.07449974112,592.5054793550805
750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,1,2,SILVER,852,18-30,High,Medium,High,2,0.18087716,0,Low Risk,0.4849850391447779,0.6432409358591883,0.3,0.852,0.5321662964156677,68459.6551280045,12382.78799413289
729,France,Male,30,9,0.0,2,1,0,151869.35,0,0,1,DIAMOND,807,18-30,No Balance,Very Long,Very High,3,0.015486146,0,Low Risk,0.0,0.7593753025113744,0.9,0.807,0.48851259075341236,74190.08962453675,1148.9185596786613
646,France,Female,46,4,0.0,3,1,0,93251.42,1,1,3,PLATINUM,470,41-50,No Balance,Medium,Medium,3,0.9297048,1,High Risk,0.0,0.46627463192616037,0.4,0.47,0.2668823895778481,24887.161801127535,23137.713784884916
635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,0,1,DIAMOND,659,18-30,Medium,Medium,Very High,0,0.049042284,0,Low Risk,0.32532599191966743,0.7839862778840483,0.3,0.659,0.49122628013308145,77020.03652980682,3777.2385051851606
647,Spain,Female,44,5,0.0,3,1,1,174205.22,1,1,3,DIAMOND,752,41-50,No Balance,Medium,Very High,3,0.9709909,1,High Risk,0.0,0.8710588518128282,0.5,0.752,0.4365176555438484,76043.65421790033,73837.69624832783
808,France,Male,45,7,118626.55,2,1,0,147132.46,0,0,1,SILVER,559,41-50,High,Long,High,2,0.15787342,0,Low Risk,0.4728077045146099,0.735689961942569,0.7,0.559,0.6057300703886146,89122.55535225001,14070.082612599013
524,France,Female,36,10,0.0,2,1,0,109614.57,0,0,2,GOLD,375,31-40,No Balance,Very Long,High,3,0.048629906,0,Low Risk,0.0,0.5480934583140327,1.0,0.375,0.4019280374942098,44057.16900087169,2142.4959871385045
769,France,Male,29,8,0.0,2,1,1,172290.61,0,0,2,DIAMOND,411,18-30,No Balance,Long,Very High,3,0.010414986,0,Low Risk,0.0,0.8614854418526136,0.8,0.411,0.45954563255578407,79175.39735587189,824.6106550058427
730,Spain,Male,42,4,0.0,2,0,1,85982.47,0,0,4,DIAMOND,722,41-50,No Balance,Medium,Medium,3,0.020778224,0,Low Risk,0.0,0.42992851531217574,0.4,0.722,0.2811785545936527,24176.426634992105,502.3432081414322
515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,0,1,GOLD,231,31-40,Very High,Very Long,High,0,0.06462619,0,Low Risk,0.7025719087777831,0.6064117010799606,1.0,0.231,0.6860522738351015,83202.8967346732,5377.086212925369
773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,0,5,DIAMOND,488,41-50,High,Very Long,Medium,0,0.09886881,0,Low Risk,0.4098374762438407,0.32298839436362803,0.9,0.488,0.4896315088066247,31627.869719241124,3127.009841976404
814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,0,2,GOLD,965,18-30,Medium,Long,Very High,0,0.02639145,0,Low Risk,0.38695551648081494,0.9864177393069979,0.8,0.965,0.7072075283844255,139515.1643065446,3682.0074830379567
710,Spain,Male,22,8,0.0,2,0,0,99645.04,0,0,4,SILVER,289,18-30,No Balance,Long,Medium,3,0.021543676,0,Low Risk,0.0,0.4982439339719173,0.8,0.289,0.3383731801915752,33717.20907511671,726.3926279385742
413,France,Male,34,9,0.0,2,0,0,6534.18,0,0,1,PLATINUM,449,31-40,No Balance,Very Long,Low,3,0.06677517,0,Low Risk,0.0,0.03267212847203055,0.9,0.449,0.2347016385416092,1533.582752525812,102.40524900897903
665,France,Female,40,6,0.0,1,1,1,161848.03,0,0,2,SILVER,651,31-40,No Balance,Long,Very High,0,0.30681294,0,Medium Risk,0.0,0.8092705785737543,0.6,0.651,0.42788117357212624,69251.72501673669,21247.32535245653
623,France,Female,44,6,0.0,2,0,0,167162.43,0,0,2,DIAMOND,520,41-50,No Balance,Long,Very High,3,0.134213,0,Low Risk,0.0,0.8358435777185221,0.6,0.52,0.4227530733155566,70668.4310253966,9484.622133211553
738,France,Male,31,9,82674.15,1,1,0,41970.72,0,0,4,DIAMOND,234,31-40,Medium,Very Long,Low,2,0.07621459,0,Low Risk,0.3295128711422235,0.20986149079205377,0.9,0.234,0.39816359569450555,16711.212789087298,1273.6382311230448
528,Spain,Male,36,7,0.0,2,1,0,60536.56,0,0,5,SILVER,458,31-40,No Balance,Long,Medium,3,0.01973129,0,Low Risk,0.0,0.3026941813012169,0.7,0.458,0.27660825439036507,16744.912188397597,330.3987184138076
670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,1,2,GOLD,915,60+,No Balance,New,Very High,1,0.21260013,0,Low Risk,0.0,0.8883118005236996,0.1,0.915,0.3779935401571099,67152.69941221866,14276.67262488861
622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,1,3,GOLD,299,41-50,High,Medium,Low,0,0.27316236,0,Low Risk,0.4267600044304841,0.1549287753219521,0.4,0.299,0.3270826343687793,10134.521322036537,2768.3697617978205
582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,0,4,GOLD,838,31-40,Medium,New,Low,0,0.09682144,0,Low Risk,0.3544810564321155,0.05027454032271614,0.1,0.838,0.26067478466966104,2620.9624427046474,253.76535788858143
785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,0,5,PLATINUM,786,31-40,Medium,New,Low,0,0.29049534,0,Low Risk,0.39779836506527416,0.18488955184714942,0.2,0.786,0.3331862115802545,12320.066616221511,3578.921940501917
605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,0,3,DIAMOND,509,31-40,Very High,Medium,Medium,2,0.09731017,0,Low Risk,0.5982221706032118,0.35932746071252275,0.5,0.509,0.4979871064550416,35786.742853886295,3482.4140308579604
479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,1,3,DIAMOND,328,31-40,Medium,Very Long,Medium,2,0.23258297,0,Low Risk,0.3700063639384421,0.49726799727669757,0.9,0.328,0.5099829447583862,50717.73245860924,11796.08084688874
685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,0,4,SILVER,347,18-30,Medium,Medium,Medium,0,0.12413808,0,Low Risk,0.36085093354038683,0.315426260027377,0.3,0.347,0.33366825142436785,21048.754264413226,2612.9519407760704
538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,0,5,SILVER,534,31-40,High,Long,Low,2,0.14948775,0,Low Risk,0.43067326658405414,0.13616141966937956,0.7,0.534,0.4065177325344355,11069.990069255671,1654.8279079753745
